Begin Bates num from PRODUCTION,End Bates num from PRODUCTION,Tag: RFP 01,Tag: RFP 08,Tag: RFP 14,Tag: RFP 22,Tag: RFP 24,Tag: RFP 32
EXAMPLE_002951,EXAMPLE_002961,,,,,,TRUE
EXAMPLE_002793,EXAMPLE_002793,,,,TRUE,,
EXAMPLE_002962,EXAMPLE_002963,,,,,,TRUE
EXAMPLE_002964,EXAMPLE_002969,,,,,,TRUE
EXAMPLE_002794,EXAMPLE_002795,,,,TRUE,,
EXAMPLE_002970,EXAMPLE_002974,,,,,,TRUE
EXAMPLE_002975,EXAMPLE_003041,,,,,,TRUE
EXAMPLE_002796,EXAMPLE_002796,,,,TRUE,,
EXAMPLE_002797,EXAMPLE_002797,,,,TRUE,,
EXAMPLE_002798,EXAMPLE_002799,,,,TRUE,,
EXAMPLE_003042,EXAMPLE_003046,,,,,,TRUE
EXAMPLE_003047,EXAMPLE_003048,,,,,,TRUE
EXAMPLE_003049,EXAMPLE_003049,,,,,,TRUE
EXAMPLE_002800,EXAMPLE_002801,,,,TRUE,,
EXAMPLE_002770,EXAMPLE_002791,,TRUE,,,,
EXAMPLE_003050,EXAMPLE_003055,,,,,,TRUE
EXAMPLE_003056,EXAMPLE_003060,,,,,,TRUE
EXAMPLE_003061,EXAMPLE_003067,,,,,,TRUE
EXAMPLE_003068,EXAMPLE_003071,,,,,,TRUE
EXAMPLE_003072,EXAMPLE_003075,,,,,,TRUE
EXAMPLE_003076,EXAMPLE_003098,,,,,,TRUE
EXAMPLE_003099,EXAMPLE_003121,,,,,,TRUE
EXAMPLE_003122,EXAMPLE_003126,,,,,,TRUE
EXAMPLE_003127,EXAMPLE_003147,,,,,,TRUE
EXAMPLE_002762,EXAMPLE_002763,TRUE,,,,,
EXAMPLE_002904,EXAMPLE_002950,,,,,TRUE,
EXAMPLE_003148,EXAMPLE_003157,,,,,,TRUE
EXAMPLE_003158,EXAMPLE_003189,,,,,,TRUE
EXAMPLE_003190,EXAMPLE_003190,,,,,,TRUE
EXAMPLE_003191,EXAMPLE_003191,,,,,,TRUE
EXAMPLE_003192,EXAMPLE_003193,,,,,,TRUE
EXAMPLE_003194,EXAMPLE_003195,,,,,,TRUE
EXAMPLE_003196,EXAMPLE_003205,,,,,,TRUE
EXAMPLE_003206,EXAMPLE_003207,,,,,,TRUE
EXAMPLE_003208,EXAMPLE_003208,,,,,,TRUE
EXAMPLE_003209,EXAMPLE_003211,,,,,,TRUE
EXAMPLE_003212,EXAMPLE_003234,,,,,,TRUE
EXAMPLE_003235,EXAMPLE_003242,,,,,,TRUE
EXAMPLE_003243,EXAMPLE_003264,,,,,,TRUE
EXAMPLE_003265,EXAMPLE_003266,,,,,,TRUE
EXAMPLE_003267,EXAMPLE_003275,,,,,,TRUE
EXAMPLE_003276,EXAMPLE_003298,,,,,,TRUE
EXAMPLE_003299,EXAMPLE_003306,,,,,,TRUE
EXAMPLE_003307,EXAMPLE_003335,,,,,,TRUE
EXAMPLE_003336,EXAMPLE_003366,,,,,,TRUE
EXAMPLE_003367,EXAMPLE_003397,,,,,,TRUE
EXAMPLE_003398,EXAMPLE_003399,,,,,,TRUE
EXAMPLE_003400,EXAMPLE_003400,,,,,,TRUE
EXAMPLE_003401,EXAMPLE_003421,,,,,,TRUE
EXAMPLE_003422,EXAMPLE_003444,,,,,,TRUE
EXAMPLE_003445,EXAMPLE_003447,,,,,,TRUE
EXAMPLE_003448,EXAMPLE_003467,,,,,,TRUE
EXAMPLE_003468,EXAMPLE_003470,,,,,,TRUE
EXAMPLE_003471,EXAMPLE_003476,,,,,,TRUE
EXAMPLE_003477,EXAMPLE_003479,,,,,,TRUE
EXAMPLE_003480,EXAMPLE_003484,,,,,,TRUE
EXAMPLE_003485,EXAMPLE_003508,,,,,,TRUE
EXAMPLE_003509,EXAMPLE_003511,,,,,,TRUE
EXAMPLE_003512,EXAMPLE_003514,,,,,,TRUE
EXAMPLE_002802,EXAMPLE_002821,,,,TRUE,,
EXAMPLE_002822,EXAMPLE_002841,,,,TRUE,,
EXAMPLE_002842,EXAMPLE_002851,,,,TRUE,,
EXAMPLE_002852,EXAMPLE_002853,,,,TRUE,,
EXAMPLE_002854,EXAMPLE_002855,,,,TRUE,,
EXAMPLE_002856,EXAMPLE_002870,,,,TRUE,,
EXAMPLE_002871,EXAMPLE_002884,,,,TRUE,,
EXAMPLE_002885,EXAMPLE_002892,,,,TRUE,,
EXAMPLE_002764,EXAMPLE_002766,TRUE,,,,,
EXAMPLE_002767,EXAMPLE_002769,TRUE,,,,,
EXAMPLE_002792,EXAMPLE_002792,,,TRUE,,,
EXAMPLE_003515,EXAMPLE_003589,,,,,,TRUE
EXAMPLE_003590,EXAMPLE_003772,,,,,,TRUE
EXAMPLE_003773,EXAMPLE_003791,,,,,,TRUE
EXAMPLE_002893,EXAMPLE_002893,,,,TRUE,,
EXAMPLE_002894,EXAMPLE_002894,,,,TRUE,,
EXAMPLE_002895,EXAMPLE_002896,,,,TRUE,,
EXAMPLE_002897,EXAMPLE_002898,,,,TRUE,,
EXAMPLE_002899,EXAMPLE_002900,,,,TRUE,,
EXAMPLE_002901,EXAMPLE_002901,,,,TRUE,,
EXAMPLE_002902,EXAMPLE_002902,,,,TRUE,,
EXAMPLE_002903,EXAMPLE_002903,,,,TRUE,,
